Movie,Directors,Ranking
The Passenger,Michelangelo Antonioni,161
King Kong,Merian C. Cooper & Ernest B. Schoedsack,162
The River,Jean Renoir,163
The Red Shoes,Michael Powell & Emeric Pressburger,164
Black Narcissus,Michael Powell & Emeric Pressburger,165
The Grapes of Wrath,John Ford,166
Napol_©on,Abel Gance,167
Mouchette,Robert Bresson,168
Dekalog,Krzysztof Kieslowski,169
Imitation of Life,Douglas Sirk,170
Earth,Alexander Dovzhenko,171
The Umbrellas of Cherbourg,Jacques Demy,172
The Life and Death of Colonel Blimp,Michael Powell & Emeric Pressburger,173
There Will Be Blood,Paul Thomas Anderson,174
The Great Dictator,Charles Chaplin,175
Rocco and His Brothers,Luchino Visconti,176
Brazil,Terry Gilliam,177
Celine and Julie Go Boating,Jacques Rivette,178
The Travelling Players,Theo Angelopoulos,179
Out of the Past,Jacques Tourneur,180
The Last Laugh,F.W. Murnau,181
Spring in a Small Town,Fei Mu,182
Sweet Smell of Success,Alexander Mackendrick,183
Belle de jour,Luis Buñuel,184
The Birds,Alfred Hitchcock,185
Performance,Nicolas Roeg & Donald Cammell,186
The Best Years of Our Lives,William Wyler,187
Kes,Ken Loach,188
Umberto D.,Vittorio De Sica,189
Ran,Akira Kurosawa,190
Night and Fog,Alain Resnais,191
The Texas Chainsaw Massacre,Tobe Hooper,192
Red River,Howard Hawks,193
Fargo,Joel Coen & Ethan Coen,194
Close Encounters of the Third Kind,Steven Spielberg,195
The Thin Red Line,Terrence Malick,196
The Quiet Man,John Ford,197
Death in Venice,Luchino Visconti,198
The Piano,Jane Campion,199
Nights of Cabiria,Federico Fellini,200
Cach_©,Michael Haneke,201
"Sal_², or the 120 Days of Sodom",Pier Paolo Pasolini,202
Spirited Away,Hayao Miyazaki,203
Le Samoura_¯,Jean-Pierre Melville,204
Nanook of the North,Robert Flaherty,205
Chungking Express,Wong Kar-wai,206
McCabe & Mrs. Miller,Robert Altman,207
A City of Sadness,Hou Hsiao-hsien,208
Schindler's List,Steven Spielberg,209
"Ivan the Terrible, Part 2",Sergei Eisenstein,210
Breaking the Waves,Lars von Trier,211
Paisan,Roberto Rossellini,212
Wings of Desire,Wim Wenders,213
The Exorcist ,William Friedkin,214
The Graduate,Mike Nichols,215
Sullivan's Travels,Preston Sturges,216
Raiders of the Lost Ark,Steven Spielberg,217
Two or Three Things I Know About Her,Jean-Luc Godard,218
The Cabinet of Dr. Caligari,Robert Wiene,219
Wavelength,Michael Snow,220
Ashes and Diamonds,Andrzej Wajda,221
Vampyr,Carl Theodor Dreyer,222
The Big Lebowski,Joel Coen & Ethan Coen,223
Kind Hearts and Coronets,Robert Hamer,224
Meet Me in St. Louis,Vincente Minnelli,225
The Treasure of the Sierra Madre,John Huston,226
The Crowd,King Vidor,227
Solaris,Andrei Tarkovsky,228
Diary of a Country Priest,Robert Bresson,229
Groundhog Day,Harold Ramis,230
The Colour of Pomegranate,Sergei Parajanov,231
"Black God, White Devil",Glauber Rocha,232
Unforgiven,Clint Eastwood,233
Only Angels Have Wings,Howard Hawks,234
Bonnie and Clyde,Arthur Penn,235
El Verdugo,Luis García Berlanga,236
"Germany, Year Zero",Roberto Rossellini,237
Eternal Sunshine of the Spotless Mind,Michel Gondry,238
Mean Streets,Martin Scorsese,239
The Tree of Life,Terrence Malick,240
The Life of Oharu,Kenji Mizoguchi,241
Johnny Guitar,Nicholas Ray,242
Tabu,F.W. Murnau,243
Meshes of the Afternoon,Maya Deren & Alexander Hammid,244
The Band Wagon,Vincente Minnelli,245
Magnolia,Paul Thomas Anderson,246
The Thin Blue Line,Errol Morris,247
Zero for Conduct,Jean Vigo,248
"Paris, Texas",Wim Wenders,249
The Shop Around the Corner,Ernst Lubitsch,250
Tropical Malady,Apichatpong Weerasethakul,251
Three Colours: Red,Krzysztof Kieslowski,252
Floating Clouds,Mikio Naruse,253
"Ivan the Terrible, Part 1",Sergei Eisenstein,254
La Notte,Michelangelo Antonioni,255
Night of the Living Dead,George A. Romero,256
Crimes and Misdemeanors,Woody Allen,257
Three Colours: Blue,Krzysztof Kieslowski,258
"Distant Voices, Still Lives",Terence Davies,259
Faces,John Cassavetes,260
The Story of the Last Chrysanthemums,Kenji Mizoguchi,261
My Neighbour Totoro,Hayao Miyazaki,262
Broken Blossoms,D.W. Griffith,263
My Night at Maud's,Eric Rohmer,264
Paths of Glory,Stanley Kubrick,265
The Wages of Fear,Henri-Georges Clouzot,266
F for Fake,Orson Welles,267
Throne of Blood,Akira Kurosawa,268
In a Lonely Place,Nicholas Ray,269
Freaks,Tod Browning,270
Week-End,Jean-Luc Godard,271
Pandora's Box,G.W. Pabst,272
Love Streams,John Cassavetes,273
Memories of Underdevelopment,Tomás Gutiérrez Alea,274
Cinema Paradiso,Giuseppe Tornatore,275
Monsieur Verdoux,Charles Chaplin,276
La Belle et la b_ªte,Jean Cocteau,277
Eraserhead,David Lynch,278
The Maltese Falcon,John Huston,279
The Birth of a Nation,D.W. Griffith,280
The Big Sleep,Howard Hawks,281
The Empire Strikes Back,Irvin Kershner,282
An Autumn Afternoon,Yasujiro Ozu,283
Kings of the Road,Wim Wenders,284
The Music Room,Satyajit Ray,285
The Matrix,Lana Wachowski & Lilly Wachowski,286
Underground,Emir Kusturica,287
The World of Apu,Satyajit Ray,288
Husbands,John Cassavetes,289
The Sacrifice,Andrei Tarkovsky,290
Touki Bouki,Djibril Diop Mambéty,291
All About My Mother,Pedro Almodóvar,292
The Philadelphia Story,George Cukor,293
Day of Wrath,Carl Theodor Dreyer,294
Berlin Alexanderplatz,Rainer Werner Fassbinder,295
The Thing,John Carpenter,296
Peeping Tom,Michael Powell,297
Mr. Hulot's Holiday,Jacques Tati,298
Harold and Maude,Hal Ashby,299
The Kid,Charles Chaplin,300
A Canterbury Tale,Michael Powell & Emeric Pressburger,301
Videodrome,David Cronenberg,302
Red Desert,Michelangelo Antonioni,303
Cabaret,Bob Fosse,304
This is Spinal Tap,Rob Reiner,305
The Last Picture Show,Peter Bogdanovich,306
Killer of Sheep,Charles Burnett,307
Orpheus,Jean Cocteau,308
Snow White and the Seven Dwarfs,David Hand,309
Terra em Transe,Glauber Rocha,310
Back to the Future,Robert Zemeckis,311
Reservoir Dogs,Quentin Tarantino,312
Dawn of the Dead,George A. Romero,313
To Kill a Mockingbird,Robert Mulligan,314
The Time to Live and the Time to Die,Hou Hsiao-hsien,315
The Puppetmaster,Hou Hsiao-hsien,316
Where is the Friend's Home?,Abbas Kiarostami,317
West Side Story,Robert Wise & Jerome Robbins,318
Amadeus,Milos Forman,319
Bride of Frankenstein,James Whale,320
Listen to Britain,Humphrey Jennings,321
Dog Day Afternoon,Sidney Lumet,322
Lola Mont_¨s,Max Ophüls,323
How Green Was My Valley,John Ford,324
Eyes Wide Shut,Stanley Kubrick,325
Midnight Cowboy,John Schlesinger,326
Make Way for Tomorrow,Leo McCarey,327
The Killing of a Chinese Bookie,John Cassavetes,328
It Happened One Night,Frank Capra,329
City of God,Fernando Meirelles & Kátia Lund,330
Kiss Me Deadly,Robert Aldrich,331
In the Realm of the Senses,Nagisa Oshima,332
